file,caption
dev_001.wav,a buzzer is ringing with water in the background
dev_002.wav,a pig is grunting with water in the background
dev_003.wav,an alarm of a car door staying open is ringing with crowd in the background
dev_004.wav,a small dog is whining with water in the background
dev_005.wav,a car horn is honking with crowd in the background
dev_006.wav,a baby is laughing with crowd in the background
dev_007.wav,a burglar alarm is ringing with traffic in the background
dev_008.wav,a large dog is barking with water in the background
dev_009.wav,a pig is grunting with traffic in the background
dev_010.wav,a metal door is opening with crowd in the background
dev_011.wav,a zipper is zipping with traffic in the background
dev_012.wav,a drill is operating with water in the background
dev_013.wav,a baby is sneezing with crowd in the background
dev_014.wav,a motorcycle is starting with water in the background
dev_015.wav,a gate is squeaking with water in the background
dev_016.wav,a person is clapping with traffic in the background
dev_017.wav,a train is stopping with water in the background
dev_018.wav,a pen is writing with crowd in the background
dev_019.wav,a burglar alarm is ringing with crowd in the background
dev_020.wav,a motorcycle is starting with crowd in the background
dev_021.wav,a buzzer is ringing with traffic in the background
dev_022.wav,a horse is galloping with traffic in the background
dev_023.wav,a small car is starting with water in the background
dev_024.wav,a can is being opened with traffic in the background
dev_025.wav,a baby is crying with traffic in the background
dev_026.wav,a door is squeaking with water in the background
dev_027.wav,a person is walking with water in the background
dev_028.wav,a door is squeaking with crowd in the background
dev_029.wav,a small gun is shooting with traffic in the background
dev_030.wav,a large dog is barking with traffic in the background
dev_031.wav,a pen is writing with traffic in the background
dev_032.wav,a baby is sneezing with water in the background
dev_033.wav,a baby is laughing with traffic in the background
dev_034.wav,a drill is operating with traffic in the background
dev_035.wav,a small dog is barking with crowd in the background
dev_036.wav,a small gun is shooting with crowd in the background
dev_037.wav,a tank is rolling with crowd in the background
dev_038.wav,a horse is galloping with crowd in the background
dev_039.wav,a metal gate is opening with traffic in the background
dev_040.wav,an alarm of a car door staying open is ringing with water in the background
dev_041.wav,a small dog is whining with traffic in the background
dev_042.wav,a baby is crying with water in the background
dev_043.wav,a metal gate is opening with crowd in the background
dev_044.wav,a person is walking with crowd in the background
dev_045.wav,an elevator is opening with traffic in the background
dev_046.wav,a can is being opened with water in the background
dev_047.wav,an elevator is opening with water in the background
dev_048.wav,a zipper is zipping with crowd in the background
dev_049.wav,an analog alarm clock is ringing with crowd in the background
dev_050.wav,a small car is passing by with water in the background
dev_051.wav,a small dog is barking with traffic in the background
dev_052.wav,a gate is squeaking with traffic in the background
dev_053.wav,a train is stopping with traffic in the background
dev_054.wav,a small car is passing by with traffic in the background
dev_055.wav,a metal door is opening with water in the background
dev_056.wav,a small car is starting with crowd in the background
dev_057.wav,a car horn is honking with traffic in the background
dev_058.wav,an analog alarm clock is ringing with water in the background
dev_059.wav,a person is clapping with crowd in the background
dev_060.wav,a tank is rolling with traffic in the background
